Reinforcement,Distance (in)
Aluminum,226.4
Aluminum,282.7
None,162.6
Plastic,185.3
Plastic,245.1
Paper,168.2
Plastic,221.1
Plastic,243
Plastic,230.7
Plastic,173.7
Aluminum,221.6
Plastic,201.5
Plastic,238
None,181.4
Aluminum,214.2
Plastic,259.3
Paper,250
None,244.9
Paper,200.6
None,179.4
Paper,239.8
None,269.3
Paper,235.6
Paper,222.6
Paper,225.1
Aluminum,263.2
Plastic,171
Paper,185
Plastic,185.8
Aluminum,247.7
None,213.4
Aluminum,214.1
Aluminum,258.5
Aluminum,155
None,131.4
Aluminum,241.3
Aluminum,251.4
Aluminum,233.6
Paper,178
Paper,173.6
Plastic,231.4
Plastic,199.6
Aluminum,217
None,238
Aluminum,261.6
Paper,202.9
Paper,228
None,252.1
None,233.3
Paper,142.1
None,201.3
Paper,238.1
Aluminum,121.3
Plastic,210.6
Plastic,169.6
Aluminum,237.8
None,302
Paper,205.9
None,221.6
None,195.8
None,263.8
Paper,214.9
Paper,270.5
None,244
Plastic,325.5
Aluminum,264.4
None,273.7
Plastic,270
